Michael Wheeler:POK_lOv, POK_wDe, POK_ZYd:Derrota:Event_8/1/4:si
William Bass:POK_gos, POK_dwr, POK_spS:Derrota:Event_5/5/0:no
Crystal Turner:POK_zNX, POK_ydb, POK_ETm:Derrota:Event_5/3/5:no
William Henderson:POK_tlY, POK_Rml, POK_IsC:Derrota:Event_4/7/0:no
Breanna Franklin:POK_BxH, POK_TVl, POK_ANy:Derrota:Event_1/6/7:si
Chad Medina:POK_LxX, POK_XvU, POK_jou:Derrota:Event_9/0/8:no
Samantha Knox:POK_SBO, POK_Jed, POK_eLJ:Derrota:Event_4/8/4:no
Michael Cantrell:POK_Tfx, POK_uJZ, POK_zmq:Derrota:Event_6/6/4:no
Angela Torres:POK_EcW, POK_dbj, POK_LfF:Victoria:Event_2/1/8:si
Parker Grimes:POK_QHM, POK_mVa, POK_eAm:Derrota:Event_0/0/0:no
Andrea Brown:POK_umW, POK_OBN, POK_mRe:Victoria:Event_3/3/2:si
Steven Evans:POK_LVE, POK_QYw, POK_CXN:Victoria:Event_3/3/1:si
Richard Barajas:POK_ftR, POK_III, POK_SBX:Victoria:Event_4/0/4:no
Dylan Washington:POK_Dks, POK_MpY, POK_wog:Victoria:Event_5/3/9:no
Dennis Williams:POK_XMy, POK_Jlt, POK_qbY:Victoria:Event_3/8/2:si
Jeffrey Garza:POK_Ekr, POK_sbJ, POK_hyG:Victoria:Event_0/9/1:no
Nicholas Miller:POK_qgF, POK_NEN, POK_zzS:Derrota:Event_3/9/1:si
Rhonda Garcia:POK_qNW, POK_LVJ, POK_zwr:Derrota:Event_8/7/6:si
Shane Higgins:POK_dJw, POK_jQb, POK_heJ:Victoria:Event_7/8/3:si
Curtis Graham:POK_OMx, POK_FPv, POK_WdS:Derrota:Event_3/6/1:si
Angie Meyers:POK_dfE, POK_oqf, POK_EzP:Derrota:Event_9/1/3:no
Lori Massey:POK_pWT, POK_dcE, POK_kzq:Victoria:Event_0/8/3:si
Don Cook:POK_GKK, POK_Dbd, POK_dUL:Victoria:Event_0/9/5:no
Karen Kelly:POK_yfM, POK_WtV, POK_VeU:Derrota:Event_0/3/5:no
Angela Middleton DVM:POK_kPA, POK_kjt, POK_fTO:Victoria:Event_9/0/1:no
Sara Yu:POK_XnP, POK_FVe, POK_YVT:Victoria:Event_2/0/1:si
Zachary Munoz:POK_FWV, POK_oew, POK_TRg:Derrota:Event_0/8/7:no
Courtney Owen:POK_Lqz, POK_jZv, POK_PzB:Victoria:Event_3/5/3:no
Sharon Mason:POK_APh, POK_HlO, POK_Vzt:Derrota:Event_8/6/8:si
Jessica Perez:POK_iPB, POK_VAk, POK_nYe:Derrota:Event_5/8/3:no
Cheryl Robinson:POK_VfM, POK_MGB, POK_WZX:Derrota:Event_7/8/2:si
Karen Olsen:POK_gfj, POK_fvB, POK_JNG:Victoria:Event_3/8/8:si
Michelle Patterson:POK_Rll, POK_wDh, POK_aAg:Victoria:Event_6/3/9:si
Susan Aguirre:POK_mps, POK_npI, POK_Lip:Victoria:Event_9/6/9:si
Andrew Moore:POK_vfJ, POK_wil, POK_wWA:Victoria:Event_5/9/9:no
Jason Kirby:POK_oOQ, POK_cCz, POK_cfR:Victoria:Event_6/0/7:si
Ashley Bradshaw:POK_lOi, POK_EBP, POK_YOz:Victoria:Event_8/9/0:no
Shirley Smith:POK_Une, POK_igA, POK_GOs:Derrota:Event_4/6/8:no
Matthew King:POK_oNv, POK_YFl, POK_XJD:Derrota:Event_6/1/9:si
Erika Hodge:POK_bZZ, POK_FAr, POK_cno:Victoria:Event_5/5/2:si
Kristen Howard:POK_mOM, POK_gjO, POK_cOM:Derrota:Event_1/2/0:no
John Matthews:POK_YGU, POK_jzT, POK_QwA:Victoria:Event_0/4/0:no
Mary Hanna:POK_yRn, POK_ekw, POK_vfK:Victoria:Event_2/2/1:si
Lisa Guerrero:POK_zcP, POK_JRa, POK_TXJ:Derrota:Event_5/5/4:no
Felicia Lee:POK_ddG, POK_Jka, POK_ito:Victoria:Event_2/9/4:si
Denise Sandoval:POK_Xjw, POK_Drf, POK_chJ:Derrota:Event_7/9/7:no
Catherine Sosa:POK_XeM, POK_uMA, POK_BAT:Victoria:Event_7/6/9:si
Caleb Sims:POK_iRH, POK_lyq, POK_PyG:Victoria:Event_4/2/1:no
Kristen Acosta:POK_XvA, POK_Kcy, POK_hmo:Victoria:Event_0/9/7:si
Angela Smith:POK_SaY, POK_nsh, POK_waP:Derrota:Event_6/2/0:si
Robert Lucas:POK_VVw, POK_mwr, POK_xhJ:Victoria:Event_3/2/6:si
Melissa Hernandez:POK_Xly, POK_LJn, POK_GzN:Derrota:Event_7/9/9:no
Tyler Grant:POK_lTs, POK_Aon, POK_unm:Derrota:Event_2/3/7:si
Courtney Campbell:POK_ZFo, POK_nfs, POK_WFl:Derrota:Event_8/2/1:si
Nicole Flores:POK_XTt, POK_Dpo, POK_NHn:Derrota:Event_5/0/4:no
Robert Vargas:POK_vDY, POK_DMY, POK_nZh:Victoria:Event_4/4/8:si
Jeremy Roy:POK_nBP, POK_szI, POK_zMe:Derrota:Event_0/7/3:no
Donald Soto:POK_RyR, POK_qKh, POK_YSZ:Derrota:Event_8/3/1:si
April Spencer:POK_sUB, POK_cvA, POK_gNZ:Victoria:Event_6/2/0:si
Laura Huang:POK_eog, POK_gFo, POK_BZy:Victoria:Event_9/3/3:si
David Wright:POK_ISK, POK_ArN, POK_SwK:Victoria:Event_5/0/2:no
Mary Spencer:POK_hDv, POK_WAu, POK_fdB:Derrota:Event_2/5/3:no
Denise Foster:POK_FLI, POK_xuQ, POK_Rca:Victoria:Event_1/4/5:no
Ashley Romero:POK_Cso, POK_HTz, POK_cZn:Victoria:Event_4/3/3:no
William Benson:POK_QRW, POK_KLZ, POK_oRr:Victoria:Event_6/0/0:no
Elijah Richardson:POK_nMA, POK_zyW, POK_PPH:Victoria:Event_0/4/6:no
John Holden:POK_tiy, POK_Xoi, POK_EgU:Victoria:Event_2/7/5:si
Laura Cox:POK_SkG, POK_pIt, POK_cCO:Derrota:Event_1/3/2:si
Jonathan Hernandez:POK_wcR, POK_JVK, POK_bBe:Victoria:Event_8/3/9:si
Amanda Harris:POK_vgl, POK_dCY, POK_UVE:Derrota:Event_0/6/9:si
Juan Johnson:POK_onq, POK_Fki, POK_ZkC:Victoria:Event_2/3/5:no
Crystal Taylor:POK_jTl, POK_DRz, POK_lnr:Victoria:Event_8/6/6:no
Megan Parker:POK_YKA, POK_hSw, POK_PyE:Victoria:Event_9/5/6:si
Michael Sullivan:POK_hYU, POK_QfA, POK_MSZ:Derrota:Event_0/0/9:no
Joseph Weiss:POK_yJE, POK_HBC, POK_gCN:Victoria:Event_4/6/1:no
Judy Duke:POK_sko, POK_HZm, POK_Ejf:Derrota:Event_8/5/0:si
Gabriella Lambert:POK_aeT, POK_mwW, POK_oVD:Victoria:Event_2/7/8:no
Benjamin Hall:POK_HYh, POK_msf, POK_zDP:Victoria:Event_0/6/7:no
Morgan Garcia:POK_KTn, POK_xAz, POK_aak:Victoria:Event_2/1/5:si
Douglas May:POK_Dhe, POK_PgF, POK_VeD:Victoria:Event_0/1/0:si
Carla Jennings:POK_Ktn, POK_DqP, POK_DuF:Derrota:Event_1/5/1:si
Jonathan Roberts:POK_fHc, POK_YAW, POK_RvF:Victoria:Event_6/1/7:no
Casey West:POK_QJC, POK_hWm, POK_ifF:Derrota:Event_4/9/1:no
Mary Nielsen:POK_yUE, POK_Bks, POK_IhJ:Derrota:Event_4/9/9:si
David Davis:POK_gPQ, POK_Hnw, POK_zSO:Derrota:Event_6/1/4:si
Amy Gross:POK_oNu, POK_FFS, POK_anT:Derrota:Event_6/8/3:no
David Stevenson:POK_ZSA, POK_Xgg, POK_LvF:Victoria:Event_9/7/3:no
Danielle Poole:POK_NDp, POK_HSZ, POK_eOM:Derrota:Event_5/3/6:no
Patrick Black:POK_xnU, POK_czH, POK_WFm:Victoria:Event_4/1/3:si
Jerry Collins:POK_gld, POK_FLI, POK_chW:Derrota:Event_7/4/9:no
Michael Lucas:POK_egW, POK_kUT, POK_oYH:Derrota:Event_7/3/9:si
William Flynn:POK_Cgr, POK_ORT, POK_zcd:Victoria:Event_1/2/1:no
Aaron Jackson:POK_mGh, POK_YZZ, POK_taj:Derrota:Event_4/6/4:no
Robert Carrillo:POK_FfD, POK_bJq, POK_MgV:Derrota:Event_4/0/4:no
Heather Rose:POK_UMx, POK_ZVw, POK_nQl:Victoria:Event_2/1/7:no
Justin Walsh:POK_BaU, POK_aqm, POK_dmB:Derrota:Event_0/8/8:si
Sarah Anderson:POK_mlo, POK_kjb, POK_mld:Victoria:Event_6/9/5:no
William Davila:POK_jXC, POK_kjE, POK_MZV:Victoria:Event_7/3/5:no
Amber Pearson:POK_BVy, POK_MAB, POK_WVz:Victoria:Event_0/0/4:no
Greg Francis:POK_evN, POK_nat, POK_ZjP:Derrota:Event_2/3/9:no
Michael Smith:POK_iAB, POK_kim, POK_ClD:Derrota:Event_3/7/9:no
Derek Mccoy:POK_IcH, POK_xOd, POK_Xbw:Victoria:Event_7/2/3:no
Gregory Mcdowell:POK_tOM, POK_RTm, POK_Eip:Victoria:Event_9/5/2:si
Melanie Flynn:POK_bDc, POK_cwW, POK_Vif:Victoria:Event_3/6/4:no
Justin Bush:POK_rZz, POK_RDv, POK_EZI:Victoria:Event_5/4/1:no
Megan Schultz:POK_lqs, POK_vHV, POK_buS:Derrota:Event_3/6/4:si
Aaron Perkins:POK_AoA, POK_jrI, POK_YLE:Derrota:Event_3/3/2:si
Eric Ball MD:POK_pqh, POK_aBU, POK_fUe:Victoria:Event_9/1/6:no
Steven Harmon:POK_HBp, POK_eUb, POK_PJD:Derrota:Event_9/1/1:no
Nicholas Meyer:POK_pKM, POK_ciU, POK_kOx:Derrota:Event_6/4/3:no
Regina Santos:POK_RmO, POK_Ipv, POK_dUq:Victoria:Event_4/6/7:no
Robert Gordon:POK_gbW, POK_tMp, POK_Ago:Victoria:Event_5/8/4:si
Jonathan Wheeler:POK_wHM, POK_NLk, POK_QuO:Victoria:Event_9/3/8:si
Mary Norman:POK_qxc, POK_Zst, POK_TPW:Derrota:Event_9/8/0:no
Cody Moss:POK_iqa, POK_qWP, POK_wMr:Derrota:Event_6/0/3:si
David Brennan:POK_Sdy, POK_RTX, POK_VZc:Victoria:Event_1/4/7:si
Caleb Smith:POK_wOt, POK_wtK, POK_Zug:Victoria:Event_4/8/1:si
David Aguirre:POK_Ysc, POK_BBA, POK_uxu:Derrota:Event_3/6/3:si
Robert Flores:POK_WQe, POK_Xzo, POK_BKL:Derrota:Event_0/8/8:si
David Strong:POK_rym, POK_aUe, POK_fWX:Derrota:Event_6/4/2:no
Calvin Estes:POK_EXe, POK_CJA, POK_ikt:Victoria:Event_5/1/8:si
Juan Dunlap:POK_sep, POK_HhO, POK_IRM:Derrota:Event_1/1/3:si
Gary Bates DDS:POK_eUI, POK_SxO, POK_qmR:Derrota:Event_4/4/7:si
Donald Serrano:POK_jTR, POK_fJW, POK_VGS:Victoria:Event_2/6/5:si
James Farmer:POK_jyl, POK_JhL, POK_hnR:Derrota:Event_0/8/8:si
Michael Jacobs:POK_QwT, POK_WtQ, POK_Klu:Derrota:Event_2/5/8:si
Alyssa Mitchell:POK_bhZ, POK_owr, POK_aPn:Victoria:Event_3/1/8:no
John Huynh:POK_Mhu, POK_cPz, POK_Eac:Victoria:Event_9/8/2:no
Robert Leach:POK_xGX, POK_bbF, POK_cqD:Victoria:Event_3/4/5:si
Jonathan Franklin:POK_AeG, POK_BRt, POK_yhy:Derrota:Event_1/5/0:si
David Patterson:POK_hqX, POK_OGH, POK_rPf:Victoria:Event_5/3/3:si
Jenna Banks:POK_SAV, POK_sFN, POK_dYb:Victoria:Event_5/1/1:no
John Bonilla:POK_KUV, POK_RXQ, POK_lih:Victoria:Event_7/6/9:si
Mary Rose:POK_Cvg, POK_Czy, POK_fDu:Victoria:Event_5/7/2:no
Danny Flynn:POK_eQb, POK_ruh, POK_DHH:Derrota:Event_9/3/0:no
James Davis:POK_sIL, POK_BWJ, POK_BEa:Derrota:Event_9/5/4:si
Jessica Meadows:POK_veC, POK_Rkv, POK_JbB:Derrota:Event_4/2/7:si
Marilyn Gentry:POK_mPL, POK_udw, POK_YpM:Derrota:Event_7/2/3:si
William Ward:POK_LBb, POK_Qhv, POK_Gvw:Victoria:Event_3/8/3:si
Rebecca Davila:POK_ZEi, POK_aLe, POK_OFm:Victoria:Event_0/3/9:no
Dennis Farley:POK_MoD, POK_Nfs, POK_GWZ:Victoria:Event_5/1/7:si
Isaac Brown:POK_Mty, POK_iQJ, POK_RQS:Derrota:Event_3/0/1:no
Cindy Garza:POK_NIo, POK_pQw, POK_DoC:Derrota:Event_9/3/6:no
Cindy Lewis:POK_tWI, POK_OhZ, POK_Wrr:Derrota:Event_3/7/5:no
Todd Tucker:POK_UHc, POK_NkX, POK_KVx:Derrota:Event_5/5/9:no
Joseph Mills:POK_aOk, POK_qhE, POK_Vqc:Derrota:Event_8/5/7:si
Matthew Davis:POK_wfz, POK_DLV, POK_Igg:Derrota:Event_9/7/4:si
William Webb:POK_ghp, POK_ExN, POK_heF:Victoria:Event_7/9/3:si
Bryce Davidson:POK_mcB, POK_CgF, POK_jMu:Victoria:Event_4/1/8:si
Robert Munoz:POK_Ecx, POK_AVn, POK_QwI:Victoria:Event_1/9/6:no
Laura Ali:POK_HHS, POK_UoB, POK_UWx:Victoria:Event_3/2/0:no
Jennifer Smith:POK_kQz, POK_wtw, POK_eaX:Victoria:Event_1/1/5:no
Christopher Foster:POK_gQZ, POK_IwC, POK_xNM:Victoria:Event_7/7/8:si
Christine Rojas:POK_Bck, POK_pSB, POK_rvZ:Derrota:Event_6/8/1:si
Brian Lee:POK_Qjm, POK_eYo, POK_YLO:Victoria:Event_1/2/9:si
Erin Norris:POK_nFw, POK_NYU, POK_dfs:Derrota:Event_9/0/4:si
Nicholas Cooper:POK_rke, POK_YsE, POK_BwC:Victoria:Event_9/3/9:si
Christina Smith:POK_qDT, POK_Fam, POK_Ucs:Victoria:Event_3/0/2:no
Benjamin Leonard:POK_XCn, POK_emW, POK_OjZ:Victoria:Event_6/5/2:si
Eugene Phillips:POK_lQR, POK_gqM, POK_AhY:Derrota:Event_9/2/6:si
Robert Norman:POK_TMH, POK_CZP, POK_Xps:Derrota:Event_4/8/8:no
Stacy Obrien:POK_Ysz, POK_mMm, POK_Jhb:Victoria:Event_7/5/9:no
Sandra Krause:POK_LkC, POK_YKi, POK_Wkc:Derrota:Event_9/7/6:si
Jamie Clark:POK_Dgh, POK_hzY, POK_Fqs:Derrota:Event_9/4/2:si
Laurie Mcguire:POK_oeh, POK_YkT, POK_zba:Derrota:Event_4/5/3:si
Samuel Wells:POK_pDX, POK_hpp, POK_KZj:Derrota:Event_2/6/1:si
Michele Knapp:POK_HGD, POK_tLj, POK_leN:Derrota:Event_6/2/9:no
Carrie Thompson:POK_YdB, POK_CWS, POK_xWz:Victoria:Event_6/6/4:no
Kelly Thomas:POK_Osx, POK_ntb, POK_YRT:Derrota:Event_9/1/5:no
Michael Shea:POK_fRR, POK_vCI, POK_FmM:Derrota:Event_3/8/9:si
Nancy Castro:POK_NFH, POK_yHo, POK_uxt:Victoria:Event_0/5/8:no
Patricia Adams:POK_JSB, POK_ckN, POK_aWr:Derrota:Event_3/6/9:si
Kevin Wong:POK_rOr, POK_WLN, POK_LtC:Derrota:Event_9/4/9:no
Sarah Farley:POK_eax, POK_OLP, POK_NDt:Victoria:Event_6/9/0:no
Courtney Johnson:POK_EOn, POK_pbA, POK_Teq:Derrota:Event_0/9/8:si
Ruth Gonzalez:POK_wth, POK_Dhs, POK_xyU:Victoria:Event_3/4/6:no
Charles Johnson:POK_aFX, POK_xFQ, POK_zPx:Victoria:Event_4/0/1:no
Lauren Parrish:POK_Dra, POK_qZf, POK_EFD:Derrota:Event_9/9/2:si
Jasmine Strickland:POK_FPS, POK_UHA, POK_cuU:Victoria:Event_3/5/5:no
Jessica Richardson:POK_omF, POK_fWK, POK_thh:Victoria:Event_9/2/1:no
David Johnson:POK_oqK, POK_Ooy, POK_LXE:Derrota:Event_0/8/0:no
Amber Sullivan:POK_JJF, POK_QZi, POK_ndz:Derrota:Event_0/4/3:si
Joshua Wilson:POK_Zhc, POK_SnQ, POK_xJv:Victoria:Event_8/7/0:si
Christine Mora:POK_IUr, POK_KXM, POK_vpY:Victoria:Event_7/5/6:no
Michael Gallagher:POK_cWu, POK_vtl, POK_ULL:Victoria:Event_6/3/2:si
Heather James:POK_sUl, POK_tSj, POK_tPv:Victoria:Event_9/8/0:si
Jerome Mcdaniel PhD:POK_ffY, POK_sfP, POK_kRX:Victoria:Event_7/0/2:si
Caitlin Cowan:POK_pSJ, POK_uXe, POK_bhR:Victoria:Event_2/2/0:no
Antonio Peterson:POK_tjT, POK_una, POK_hCe:Derrota:Event_4/4/3:si
Elijah Hubbard:POK_rej, POK_CHS, POK_naI:Victoria:Event_8/6/3:no
Scott Ross:POK_VkV, POK_VRT, POK_ZgG:Victoria:Event_0/9/8:si
Miranda Jones:POK_GzT, POK_KFv, POK_yQO:Victoria:Event_3/9/4:no
Sarah Martinez:POK_nhH, POK_zhB, POK_MCZ:Victoria:Event_1/4/4:no
Bryan Ramirez:POK_vTp, POK_cOY, POK_UgB:Victoria:Event_1/7/5:si
Nathan Gray:POK_UEC, POK_ADo, POK_fCF:Derrota:Event_1/7/2:no
Martin Jenkins:POK_Imn, POK_AaG, POK_Hro:Derrota:Event_7/6/8:no
Jacob Glover:POK_HCn, POK_dUq, POK_jcZ:Derrota:Event_4/7/1:si
Wesley Braun:POK_bMC, POK_DJA, POK_RAA:Derrota:Event_1/8/6:si
Jerry York:POK_pqY, POK_iZt, POK_ioK:Derrota:Event_7/5/0:si
James Scott:POK_XEH, POK_Sty, POK_RVR:Victoria:Event_1/5/3:si
Anna Hernandez:POK_mRr, POK_Ikb, POK_odi:Victoria:Event_1/3/4:no
Rebecca Castillo:POK_Pzd, POK_eHq, POK_Pxs:Derrota:Event_7/9/7:no
Donna Brown:POK_LnA, POK_OFc, POK_pvG:Derrota:Event_7/5/8:si
Ryan Rodriguez:POK_LHs, POK_Dfc, POK_oUJ:Victoria:Event_3/0/3:si
Angela Pacheco:POK_uDu, POK_lBT, POK_lNv:Victoria:Event_8/7/8:no
Lisa Cooper:POK_JMF, POK_MDu, POK_LQs:Derrota:Event_5/2/3:si
Dr. Eric Hall:POK_IPr, POK_GnE, POK_pGx:Victoria:Event_4/6/6:si
Brian Gonzales:POK_AWz, POK_ISw, POK_VvE:Derrota:Event_8/0/6:si
Richard Hernandez:POK_IyN, POK_Eaw, POK_tBa:Victoria:Event_3/2/2:no
Richard Brown:POK_pYC, POK_XRz, POK_NPn:Derrota:Event_0/8/3:no
Christopher Ruiz DDS:POK_CVX, POK_wzd, POK_UJa:Victoria:Event_6/8/9:no
Jessica Arnold:POK_nsZ, POK_CyY, POK_Xyv:Derrota:Event_9/3/5:no
Rebecca Moore:POK_WlR, POK_WPU, POK_XrJ:Derrota:Event_4/4/7:si
Robert Baker:POK_UtD, POK_Msd, POK_Kpm:Victoria:Event_2/1/1:si
Stephanie Rowland:POK_xKe, POK_ktc, POK_vjx:Victoria:Event_5/2/1:si
Tiffany Gay:POK_gdS, POK_MzU, POK_duw:Victoria:Event_5/4/8:no
Elizabeth Spears:POK_Wav, POK_VLj, POK_kqy:Victoria:Event_6/0/3:no
Cameron Villarreal:POK_bfX, POK_ZUd, POK_RHM:Victoria:Event_2/6/3:si
Joseph Scott:POK_sYp, POK_FGG, POK_ICj:Derrota:Event_0/1/7:si
Travis Andrews:POK_ZUb, POK_urk, POK_ZCs:Derrota:Event_2/1/3:no
Ana Gordon:POK_AyO, POK_wdi, POK_xjy:Victoria:Event_3/4/0:no
Aaron Cummings:POK_Jlk, POK_SvO, POK_nAx:Derrota:Event_9/0/8:si
Michael Singh:POK_iPr, POK_UOo, POK_yQH:Derrota:Event_2/9/7:si
Christopher Martinez:POK_yfE, POK_vFs, POK_rrx:Derrota:Event_6/4/7:no
Robert Foster II:POK_FxD, POK_fPN, POK_GTm:Derrota:Event_5/1/3:no
John Huynh:POK_pFX, POK_JfJ, POK_nQn:Derrota:Event_7/4/1:si
Carla Lopez:POK_dzF, POK_ohX, POK_RvV:Victoria:Event_2/9/1:si
Natalie Gomez:POK_oyj, POK_xLK, POK_qPE:Derrota:Event_0/9/3:no
Maureen Mendez:POK_kMN, POK_LZu, POK_iCS:Derrota:Event_2/7/2:no
Julie Macdonald:POK_bzd, POK_PPj, POK_mLR:Victoria:Event_2/7/2:si
Dana Taylor:POK_are, POK_IPf, POK_ZXZ:Victoria:Event_9/5/7:no
Barry West:POK_gXv, POK_VMu, POK_WsM:Derrota:Event_3/0/7:si
Keith Choi:POK_AUn, POK_lon, POK_NFW:Derrota:Event_7/1/1:no
Christopher Davis:POK_aDa, POK_BwP, POK_FSy:Derrota:Event_9/7/5:no
Shari Cole:POK_yhm, POK_cEg, POK_jJP:Derrota:Event_2/9/3:si
Thomas Murphy:POK_oRv, POK_IMG, POK_TEO:Derrota:Event_4/9/0:si
Robert Bowers:POK_wWR, POK_yzQ, POK_QKi:Derrota:Event_9/0/3:no
Laura Alexander:POK_unT, POK_BtS, POK_Zyt:Derrota:Event_6/9/9:si
Carrie Hutchinson:POK_dcT, POK_WlY, POK_ODK:Victoria:Event_8/5/9:si
Christopher Horton DDS:POK_gkS, POK_JqX, POK_vKH:Derrota:Event_8/9/4:no
Anita Woods:POK_gSi, POK_rzq, POK_qAR:Derrota:Event_3/5/7:si
Lynn Porter:POK_lhc, POK_LDh, POK_iYh:Derrota:Event_8/1/5:si
Chelsey Davidson:POK_Qwn, POK_FVU, POK_cSg:Victoria:Event_4/9/3:no
Matthew Larson:POK_gTy, POK_xZu, POK_PKV:Derrota:Event_0/7/2:si
Reginald Houston:POK_BWN, POK_TQU, POK_vxf:Derrota:Event_2/0/2:si
Rebecca George:POK_NFC, POK_LVs, POK_lMF:Victoria:Event_3/0/5:no
Caleb Griffin:POK_nqy, POK_PRh, POK_ZPY:Victoria:Event_4/3/4:no
Maria Smith:POK_ZQO, POK_bju, POK_uxj:Derrota:Event_4/1/9:no
